Model,Option,Fill Method,Train R^2,Test R^2,Validation R^2,CTGAN R^2,Noise R^2,VAE R^2,Copula R^2
LinearRegression,general,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.8205139786013602,0.6657006631014966,0.29740715671701834,-0.6882016256121617,0.666246160969881,-1.3432650883863757,0.5069066971442497
LinearRegression,general,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.8313056385007433,0.6364568291811932,0.5308958383402238,-0.9718040332796685,0.6708316327412354,-2.1943410090763935,0.5592775055812886
LinearRegression,general,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",0.8119612979669143,0.6711105945739364,0.49391972422796504,-0.4629081763851921,0.6695336362023242,0.33649640766731215,-0.3699957555651079
LinearRegression,ctgan,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",-0.3384012321505605,-0.5113413660347135,-1.3282953234908144,0.038691587457424625,-0.8839944772509598,0.055341655513366006,-0.34239346319853614
LinearRegression,ctgan,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",-0.34262053229634937,-0.5154276926595209,-1.323147622484968,0.038691587457424625,-0.8780164015526921,0.055341655513366006,-0.34239346319853614
LinearRegression,ctgan,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",-0.3211247967926705,-0.5158030007835186,-1.2793293420842664,0.038691587457424625,-0.8791291900862741,0.055341655513366006,-0.34239346319853614
LinearRegression,noise,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.6726603200237833,0.6270700167490534,0.5958380990623718,-0.5678093485067666,0.7755695911488686,0.7232790168754428,0.6699770689334414
LinearRegression,noise,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.6925574942640451,0.4822478026590977,0.44432745461370426,-0.5887069467831121,0.7799443812778545,0.328618638890831,0.6868255246813623
LinearRegression,noise,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",0.6780826661153787,0.6258146869092186,0.6527851301784263,-0.490326087778326,0.766345329182478,-1.4568932409529727,-0.07169366962284474
LinearRegression,vae,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",-0.06320394672618268,-0.3116377512331574,-0.7695558593186955,-4.901146736075932,-0.40189860471017,0.9965294142265926,-0.17070795328463118
