country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,Continent_x,Marriage,Divorce,Actual,Percent,rank,IQ,education_expenditure,avg_income,avg_temp,ISO3,Continent_y,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Year,Expected Years of Schooling,year,beef,pig,poultry,sheep,Unnamed: 0,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,avg_temp_c,latitude,longitude,altitude
Gambia,Sub-Saharan Africa,4.279,0.761,0.614,0.174,0.286,0.332,0.033,,,,,,105.0,55.0,14.0,648.0,32.9,GMB,Africa,Northern Hemisphere,Low,SSA,174.0,2021.0,9.418626299,,,,,,,,,,,,,,,,,
Togo,Sub-Saharan Africa,4.137,0.77,0.642,0.161,0.367,0.149,0.136,,,,,,,,,,,TGO,Africa,Northern Hemisphere,Low,SSA,162.0,2021.0,12.95049378,,,,,,,,,,,,,,27.29763951258587,7.55692615,1.1797968,0.0
Ethiopia,Sub-Saharan Africa,4.091,0.793,1.114,0.25,0.451,0.283,0.101,,,,,,99.0,67.0,21.0,379.0,27.2,ETH,Africa,Northern Hemisphere,Low,SSA,175.0,2021.0,9.651071421,2023.0,2.51789324519562,0.01480454791738,0.109744319548901,0.359308779664616,,,,,,,,,21.020283964942735,9.2864719,39.340929275,0.0
Liberia,Sub-Saharan Africa,4.042,0.628,0.644,0.141,0.471,0.219,0.071,,,,,,,,,,,LBR,Africa,Northern Hemisphere,Low,SSA,178.0,2021.0,10.42078972,,,,,,,,,,,,,,27.443665478517648,6.14114905,-9.8573299,0.0
Madagascar,Sub-Saharan Africa,4.019,0.632,0.779,0.178,0.187,0.177,0.134,,,,,,,,,,,MDG,Africa,Southern Hemisphere,Low,SSA,173.0,2021.0,10.13499142,,,,,,,,,,,,,,23.713912396538273,-18.31202335,47.216476183333334,0.0
Zambia,Sub-Saharan Africa,3.982,0.914,0.89,0.095,0.545,0.189,0.08,,,,,,,,,,,ZMB,Africa,Southern Hemisphere,Medium,SSA,154.0,2021.0,10.92876021,,,,,,,,,,,,,,22.08824151780047,-14.28140692,28.25560888,0.0
Tanzania,Sub-Saharan Africa,3.694,0.836,0.787,0.214,0.607,0.234,0.269,,,,,,,,,,,TZA,Africa,Southern Hemisphere,Low,SSA,160.0,2021.0,9.221489906,,,,,,,,,,,,,,24.622066383903626,-6.6774479187499995,36.7642115730895,0.0
Comoros,Sub-Saharan Africa,3.545,0.914,0.327,0.215,0.117,0.129,0.145,,,,,,,,,,,COM,Africa,Southern Hemisphere,Medium,SSA,156.0,2021.0,11.92432393,,,,,,,,,,,,,,27.014864010120174,-11.6931255,43.2543044,0.0
Malawi,Sub-Saharan Africa,3.495,0.637,0.479,0.189,0.49,0.139,0.129,,,,,,,,,,,MWI,Africa,Southern Hemisphere,Low,SSA,169.0,2021.0,12.67898523,,,,,,,,,,,,,,24.44748811948405,-15.7862543,35.0035694,0.0
Botswana,Sub-Saharan Africa,3.435,1.471,1.041,0.087,0.48,0.021,0.071,,,,,,,,,,,BWA,Africa,Southern Hemisphere,Medium,SSA,117.0,2021.0,12.26513765,,,,,,,,,,,,,,24.53581763670589,-19.9770427,23.780021333333337,0.0
Congo (Kinshasa),Sub-Saharan Africa,3.207,0.531,0.784,0.105,0.375,0.183,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,3.204,0.758,0.881,0.069,0.363,0.112,0.117,,,,,,92.0,74.0,50.0,843.0,27.1,ZWE,Africa,Southern Hemisphere,Medium,SSA,146.0,2021.0,12.11096904,,,,,,,,,,,,,,19.649238790338984,-19.28858435,31.189912,0.0
Sierra Leone,Sub-Saharan Africa,3.138,0.67,0.54,0.092,0.371,0.193,0.051,,,,,,107.0,52.0,16.0,412.0,30.4,SLE,Africa,Northern Hemisphere,Low,SSA,181.0,2021.0,9.57339109,,,,,,,,,,,,,,27.449529983792544,8.479004,-13.26795,0.0
Pakistan,South Asia,4.555,1.081,0.657,0.158,0.511,0.141,0.102,,,,,,75.0,81.0,27.0,985.0,30.9,PAK,Asia,Northern Hemisphere,Low,SA,161.0,2021.0,8.658349991,2023.0,6.59073237726924,3.5533799961e-06,6.14657376183431,2.01311404232303,,,,,,,,,23.06502163137997,30.863643940000003,70.59588790000001,0.0
Sri Lanka,South Asia,4.442,1.422,1.224,0.426,0.539,0.12,0.086,Asia,,0.15,,,61.0,85.0,55.0,2442.0,29.7,LKA,Asia,Northern Hemisphere,High,SA,73.0,2021.0,14.13990486,,,,,,,,,,,,,,25.612386131549197,7.30399517,80.4380038584698,0.0
India,South Asia,4.036,1.159,0.674,0.252,0.685,0.175,0.111,,,,,,84.0,77.0,47.0,1163.0,31.7,IND,Asia,Northern Hemisphere,Medium,SA,132.0,2021.0,11.87462044,2023.0,0.542250574859357,0.164643080168458,2.72121562100537,0.463386908232643,33.0,IND,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,25.09940948363927,22.002535120689657,81.68058629157159,0.0
Afghanistan,South Asia,1.859,0.645,0.0,0.087,0.0,0.093,0.059,,,,,,73.0,81.0,15.0,474.0,24.4,AFG,Asia,Northern Hemisphere,Low,SA,180.0,2021.0,10.26384398,,,,,,,,,,,,,,17.871044645064327,36.113562116666664,68.08083138333333,0.0
