country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,Continent_x,Marriage,Divorce,Actual,Percent,rank,IQ,education_expenditure,avg_income,avg_temp,ISO3,Continent_y,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Year,Expected Years of Schooling,year,beef,pig,poultry,sheep,Unnamed: 0,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,avg_temp_c,latitude,longitude,altitude
Ukraine,Central and Eastern Europe,5.071,1.358,1.354,0.355,0.551,0.265,0.016,Europe,4.06,2.88,1.41,70.94,44.0,91.0,143.0,2375.0,14.6,UKR,Europe,Northern Hemisphere,High,ECA,77.0,2021.0,14.95656854,2023.0,5.20224015427096,13.4381409347444,24.0770555163356,0.298596010804181,,,,,,,,,10.097010001276749,49.1422791,30.62646411578947,0.0
Costa Rica,Latin America and Caribbean,6.609,1.587,1.34,0.503,0.683,0.099,0.116,North America,5.3,2.5,2.12,47.17,53.0,88.0,487.0,7480.0,28.6,CRI,America,Northern Hemisphere,Very High,LAC,58.0,2021.0,16.54577065,,,,,,42.0,CRI,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,,,,
Uruguay,Latin America and Caribbean,6.494,1.617,1.445,0.435,0.683,0.102,0.254,South America,3.2,,,,,,,,,URY,America,Southern Hemisphere,Very High,LAC,58.0,2021.0,16.83259964,,,,,,,,,,,,,,18.04902035279357,-33.38949528,-56.741444820000005,0.0
Chile,Latin America and Caribbean,6.334,1.645,1.384,0.511,0.546,0.131,0.076,South America,3.3,0.7,4.71,21.21,52.0,88.0,482.0,10195.0,18.5,CHL,America,Southern Hemisphere,Very High,LAC,42.0,2021.0,16.73130035,2023.0,19.5928765143762,20.3852780146451,37.9813552483916,0.413927052412702,30.0,CHL,ALCOHOL,TOT,LT_CAP15,A,2019.0,7.1,14.630812206117204,-34.53477597360868,-71.82557644913263,0.0
Mexico,Latin America and Caribbean,6.33,1.55,1.169,0.389,0.632,0.086,0.115,North America,5.2,0.9,5.78,17.31,58.0,87.0,437.0,8845.0,29.8,MEX,America,Northern Hemisphere,High,LAC,86.0,2021.0,14.86443996,2023.0,8.73032191713485,14.08813748849,29.569800755473,0.51921017633281,16.0,MEX,ALCOHOL,TOT,LT_CAP15,A,2019.0,4.9,21.670871898792864,21.933081638231652,-100.8137321685332,0.0
Nicaragua,Latin America and Caribbean,6.259,1.109,1.292,0.385,0.66,0.148,0.218,North America,4.5,0.8,5.63,17.78,,,,,,NIC,America,Northern Hemisphere,Medium,LAC,126.0,2021.0,12.64135783,,,,,,,,,,,,,,28.453446244043015,12.1315011,-85.82135115,0.0
Guatemala,Latin America and Caribbean,6.15,1.287,1.188,0.31,0.631,0.106,0.066,North America,3.8,1.2,3.17,31.58,106.0,55.0,92.0,2830.0,32.1,GTM,America,Northern Hemisphere,Medium,LAC,135.0,2021.0,10.56245041,,,,,,,,,,,,,,,,,
Brazil,Latin America and Caribbean,6.125,1.454,1.25,0.387,0.558,0.131,0.137,South America,6.6,1.4,4.71,21.21,64.0,83.0,427.0,7586.0,30.6,BRA,America,Southern Hemisphere,High,LAC,87.0,2021.0,15.59906006,2023.0,24.5731996902572,12.8019878059285,39.9630789092284,0.545046021683156,29.0,BRA,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.1,23.033952821040252,-13.595035707692308,-45.15482008461539,0.0
Argentina,Latin America and Caribbean,6.024,1.59,1.388,0.427,0.587,0.088,0.082,,,,,,56.0,87.0,454.0,8795.0,24.4,ARG,America,Southern Hemisphere,Very High,LAC,47.0,2021.0,17.8748703,2023.0,38.9786638585351,11.7784218052216,38.403747441818,0.967173414573501,43.0,ARG,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,16.90442336565593,-34.324733359375,-63.71091369186048,0.0
Honduras,Latin America and Caribbean,6.023,1.115,1.072,0.341,0.613,0.189,0.062,,,,,,,,,,,HND,America,Northern Hemisphere,Medium,LAC,137.0,2021.0,10.13281417,,,,,,,,,,,,,,26.109737456140483,15.165443625,-86.44830025,0.0
Paraguay,Latin America and Caribbean,5.738,1.428,1.427,0.392,0.678,0.148,0.062,,,,,,,,,,,PRY,America,Southern Hemisphere,High,LAC,105.0,2021.0,12.98799113,2023.0,13.8720617723263,21.8764592865867,5.21955182977101,0.494692336391382,,,,,,,,,23.580674154359063,-24.274075081818182,-56.813688354545455,0.0
Bolivia,Latin America and Caribbean,5.684,1.24,1.187,0.329,0.648,0.103,0.06,,,,,,80.0,79.0,156.0,1912.0,27.6,BOL,America,Southern Hemisphere,Medium,LAC,118.0,2021.0,14.94697094,,,,,,,,,,,,,,15.493046193368675,-17.459090383333333,-66.71807953142,0.0
Colombia,Latin America and Caribbean,5.63,1.455,1.213,0.486,0.562,0.08,0.068,South America,2.3,0.7,3.29,30.43,66.0,83.0,231.0,5037.0,30.3,COL,America,Northern Hemisphere,High,LAC,88.0,2021.0,14.44274998,2023.0,11.1990741789298,8.81304468458319,33.3208678002305,0.143068400418439,39.0,COL,ALCOHOL,TOT,LT_CAP15,A,2019.0,4.1,25.7464461354203,6.131056658333333,-73.97232502443322,0.0
Ecuador,Latin America and Caribbean,5.559,1.343,1.173,0.476,0.56,0.079,0.069,South America,5.6,1.1,5.09,19.64,81.0,79.0,199.0,4159.0,25.6,ECU,America,Southern Hemisphere,High,LAC,95.0,2021.0,14.62423038,,,,,,,,,,,,,,20.02032291330105,-1.09486016,-81.12582210000001,0.0
Peru,Latin America and Caribbean,5.526,1.39,1.153,0.499,0.549,0.073,0.027,,,,,,,,,,,PER,America,Southern Hemisphere,High,LAC,84.0,2021.0,15.38773354,2023.0,4.24797201569134,4.44083981679568,46.8846086206208,1.04646602042799,46.0,PER,ALCOHOL,TOT,LT_CAP15,A,2019.0,5.7,20.128851646912068,-9.970679678947368,-75.4766200631579,0.0
Venezuela,Latin America and Caribbean,5.211,0.0,1.257,0.341,0.369,0.205,0.084,South America,3.3,1.2,2.75,36.36,68.0,83.0,273.0,8025.0,32.1,VEN,America,Northern Hemisphere,Medium,LAC,120.0,2021.0,12.81608,,,,,,,,,,,,,,26.984260062005244,9.69360677777778,-67.28376807027604,0.0
Malaysia,Southeast Asia,6.012,1.665,1.155,0.385,0.659,0.222,0.122,Asia,6.4,1.6,4.0,25.0,47.0,89.0,450.0,7665.0,32.0,MYS,Asia,Northern Hemisphere,Very High,EAP,62.0,2021.0,13.34304047,2023.0,5.73303194280343,5.23459507497145,50.4883493613007,1.22516132333679,,,,,,,,,27.76571887803144,4.115592728571428,104.85970402857144,0.0
Vietnam,Southeast Asia,5.763,1.349,1.212,0.381,0.741,0.134,0.122,Asia,5.7,0.4,14.25,7.02,45.0,91.0,76.0,1446.0,28.9,,,,,,,,,,,,,,,,,,,,,,25.01480470111248,17.49806453076923,106.5724803153846,0.0
Philippines,Southeast Asia,5.523,1.238,1.108,0.286,0.714,0.104,0.141,,,,,,65.0,83.0,67.0,2330.0,31.9,PHL,Asia,Northern Hemisphere,Medium,EAP,116.0,2021.0,13.12656975,2023.0,3.19571876804262,15.0632781405654,14.3372636807164,0.527718662782246,,,,,,,,,23.91171924290221,15.501219850000002,120.786867,0.0
Indonesia,Southeast Asia,5.277,1.384,1.169,0.314,0.663,0.422,0.038,,,,,,76.0,80.0,79.0,2355.0,31.6,IDN,Asia,Southern Hemisphere,High,EAP,114.0,2021.0,13.74889386,2023.0,2.07142784258711,1.02018119064291,8.08793615862747,0.439680387838775,34.0,IDN,ALCOHOL,TOT,LT_CAP15,A,2019.0,0.1,27.467252768583062,-3.5288468999999996,112.30796960233306,0.0
Laos,Southeast Asia,5.111,1.232,0.853,0.257,0.715,0.185,0.162,,,,,,67.0,83.0,32.0,1157.0,32.1,,,,,,,,,,,,,,,,,,,,,,27.16058689531639,18.117679483333333,103.48828778304976,0.0
