Expected Years of Schooling,avg_temp,Marriage,avg_income,Divorce,HDI Rank (2021),avg_temp_c,education_expenditure,IQ,Hemisphere_Northern Hemisphere,Hemisphere_Southern Hemisphere
16.28097916,18.8,5.1,49883.0,2.3,21.0,5.653297165789233,2608.0,97.0,1,0
16.28097916,18.8,5.1,49883.0,2.3,21.0,5.653297165789233,2608.0,97.0,1,0
16.28097916,18.8,5.1,49883.0,2.3,21.0,5.653297165789233,2608.0,97.0,1,0
16.28097916,18.8,5.1,49883.0,2.3,21.0,5.653297165789233,2608.0,97.0,1,0
16.28097916,18.8,5.1,49883.0,2.3,21.0,5.653297165789233,2608.0,97.0,1,0
16.28097916,18.8,5.1,49883.0,2.3,21.0,5.653297165789233,2608.0,97.0,1,0
16.28097916,18.8,5.1,49883.0,2.3,21.0,5.653297165789233,2608.0,97.0,1,0
16.28097916,18.8,5.1,49883.0,2.3,21.0,5.653297165789233,2608.0,97.0,1,0
17.01013947,13.8,4.9,39911.0,1.9,9.0,10.79305122715033,1883.0,100.0,1,0
19.60421944,14.8,3.9,40526.0,2.1,13.0,19.222634206548808,2507.0,98.0,1,0
16.21968079,12.8,4.940543733983164,15552.0,1.800270883444213,32.0,9.48042661247075,712.0,96.0,1,0
17.30971909,12.9,4.4,40698.0,1.8,18.0,13.133714541004522,2076.0,99.0,1,0
17.30971909,12.9,4.4,40698.0,1.8,18.0,13.133714541004522,2076.0,99.0,1,0
17.30971909,12.9,4.4,40698.0,1.8,18.0,13.133714541004522,2076.0,99.0,1,0
17.30971909,12.9,4.4,40698.0,1.8,18.0,13.133714541004522,2076.0,99.0,1,0
17.30971909,12.9,4.4,40698.0,1.8,18.0,13.133714541004522,2076.0,99.0,1,0
17.30971909,12.9,4.4,40698.0,1.8,18.0,13.133714541004522,2076.0,99.0,1,0
17.30971909,12.9,4.4,40698.0,1.8,18.0,13.133714541004522,2076.0,99.0,1,0
17.30971909,12.9,4.4,40698.0,1.8,18.0,13.133714541004522,2076.0,99.0,1,0
16.28506088,11.6,7.0,11330.0,3.1,35.0,7.980997474747475,550.0,95.0,1,0
15.81206989,16.8,3.7,37610.0,1.9,28.0,15.21960362091384,2042.0,97.0,1,0
17.65492058,24.939486947249716,3.5,7446.567417507158,1.1,23.0,12.129430379746836,409.7462800450428,88.29712891336501,1,0
16.54577065,28.6,5.3,7480.0,2.5,58.0,5.653297165789233,487.0,88.0,1,0
14.22990036,16.0,7.4,7109.0,1.6,53.0,11.41817155562116,249.0,88.0,1,0
16.5243206,31.5,6.8,41100.0,1.9,12.0,28.07889589905363,1428.0,106.0,1,0
15.71769047,34.4,2.8,38644.0,0.7,26.0,29.033337722925136,805.0,82.0,1,0
