year,country,beef,pig,poultry,sheep,measures,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Expected Years of Schooling
2015,Thailand,1.1731384473165,10.3723642078678,10.4451815541183,0.0432722390298195,KG_CAP,Southeast Asia,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,THA,Asia,Northern Hemisphere,Very High,EAP,66.0,15.56759501
2015,Ukraine,5.49053496794016,12.8632921960989,21.141836972065,0.269868060560835,KG_CAP,Central and Eastern Europe,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,UKR,Europe,Northern Hemisphere,High,ECA,77.0,14.88242753
2015,Norway,24.869493656543945,0.30470242020804555,2.2984898166263843,9.466976084776189,THND_TONNE,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,NOR,Europe,Northern Hemisphere,Very High,,2.0,17.78388977
2015,Ethiopia,0.09718948603828619,41.66955634558019,3.086889968098769,32.97125933931477,THND_TONNE,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,ETH,Africa,Northern Hemisphere,Low,SSA,175.0,8.918518663
2015,Thailand,12.715680373328112,16.924813648354988,0.047020056090356414,18.84125909628842,THND_TONNE,Southeast Asia,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,THA,Asia,Northern Hemisphere,Very High,EAP,66.0,15.56759501
2015,Ethiopia,0.01605269180292753,24.90320075694241,28.03310759299882,4.924836862948398,THND_TONNE,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,ETH,Africa,Northern Hemisphere,Low,SSA,175.0,8.918518663
2015,Thailand,11.34984076534957,35.31705775865544,1.6086484824273064,10.61993610515108,THND_TONNE,Southeast Asia,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,THA,Asia,Northern Hemisphere,Very High,EAP,66.0,15.56759501
2015,Israel,1.6217676011585476,1.4378226765869455,6.358641653527303,33.66920969152477,THND_TONNE,Middle East and North Africa,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,ISR,Asia,Northern Hemisphere,Very High,,22.0,16.17112923
2015,Nigeria,1.7245625923322756,36.218452314193605,16.249827232367302,0.9145614942287118,THND_TONNE,Sub-Saharan Africa,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,NGA,Africa,Northern Hemisphere,Low,SSA,163.0,9.399784948
2015,Nigeria,1.759208871694063,1.1958112230789575,60.99317186963512,33.7256962177634,THND_TONNE,Sub-Saharan Africa,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,NGA,Africa,Northern Hemisphere,Low,SSA,163.0,9.399784948
2015,New Zealand,17.507342526917235,13.181509690542738,8.292092455678109,5.890550041467059,THND_TONNE,North America and ANZ,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,NZL,Oceania,Southern Hemisphere,Very High,,13.0,18.86964989
2015,Kazakhstan,14.678617915253016,23.59880631565349,39.62943970315712,18.9791765025644,THND_TONNE,Commonwealth of Independent States,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,KAZ,Asia,Northern Hemisphere,Very High,ECA,56.0,15.11816025
2015,Japan,19.7135640666759,0.5966900041130485,11.043680809754743,14.761657684064804,THND_TONNE,East Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,JPN,Asia,Northern Hemisphere,Very High,,19.0,15.16511414
2015,United States,0.4938636749279157,11.963224419478353,27.890186502478873,2.2207867259674288,THND_TONNE,North America and ANZ,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,USA,America,Northern Hemisphere,Very High,,21.0,16.1919899
2015,Argentina,41.183524936168645,5.878431411539972,54.04919653180745,52.0233981747566,THND_TONNE,Latin America and Caribbean,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,ARG,America,Southern Hemisphere,Very High,LAC,47.0,17.40954971
2015,Colombia,7.102619694709691,1.2032287467273362,22.94393697538051,2.2267538776492506e-06,THND_TONNE,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,COL,America,Northern Hemisphere,High,LAC,88.0,14.29211044
2015,Brazil,43.98580067799437,4.465675766763672,1.1372636028827818,7.467301978198217,THND_TONNE,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,BRA,America,Southern Hemisphere,High,LAC,87.0,15.36513042
2015,Brazil,33.69874676492659,4.747229229088109,6.330802028153821,10.216318135628931,THND_TONNE,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,BRA,America,Southern Hemisphere,High,LAC,87.0,15.36513042
2015,Colombia,16.263461451687284,1.209747110653536,1.1367811392386682,28.48598129671733,THND_TONNE,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,COL,America,Northern Hemisphere,High,LAC,88.0,14.29211044
2015,Colombia,0.16123783575947703,9.525045962011587,7.065390165759648,18.531384479650054,THND_TONNE,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,COL,America,Northern Hemisphere,High,LAC,88.0,14.29211044
2015,Pakistan,4.576139628290765,1.6025355619462294,0.1486154595451018,5.5210965249031005,THND_TONNE,South Asia,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,PAK,Asia,Northern Hemisphere,Low,SA,161.0,7.584290028
2015,Canada,33.24038716276453,22.551979162003484,3.7945720336695126,25.225259946639728,THND_TONNE,North America and ANZ,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,CAN,America,Northern Hemisphere,Very High,,15.0,15.89140034
2015,China,40.758756254850894,34.88336086895794,12.032596017280701,0.37013782958984326,THND_TONNE,East Asia,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,CHN,Asia,Northern Hemisphere,High,EAP,79.0,13.47687006
2015,Ukraine,28.997109306376757,7.454402937231445,0.5875177815143434,4.289965614169974,THND_TONNE,Central and Eastern Europe,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,UKR,Europe,Northern Hemisphere,High,ECA,77.0,14.88242753
2015,Paraguay,6.4076294738557795,28.169791433128374,6.9875314600946385,0.47337207842316265,THND_TONNE,Latin America and Caribbean,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,PRY,America,Southern Hemisphere,High,LAC,105.0,12.99628522
2015,South Africa,4.133363708148218,1.9492185379535065,18.45512306988664,0.4898362636257931,THND_TONNE,Sub-Saharan Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,ZAF,Africa,Southern Hemisphere,High,SSA,109.0,14.00878525
2015,Canada,0.9332216828765078,15.955045325413213,20.726995205542774,13.557207207103216,THND_TONNE,North America and ANZ,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,CAN,America,Northern Hemisphere,Very High,,15.0,15.89140034
2015,Pakistan,7.900679106788979e-07,1.3932089842574091,42.9143255201936,12.235672796224101,THND_TONNE,South Asia,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,PAK,Asia,Northern Hemisphere,Low,SA,161.0,7.584290028
2015,Mexico,0.5971982252042055,20.44322488167496,0.5382332085701792,22.632438255093597,THND_TONNE,Latin America and Caribbean,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,MEX,America,Northern Hemisphere,High,LAC,86.0,14.19680977
2015,Paraguay,26.87873726806056,4.755237365030843,0.40429299656009504,16.295611307055218,THND_TONNE,Latin America and Caribbean,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,PRY,America,Southern Hemisphere,High,LAC,105.0,12.99628522
2015,India,0.24090397814499548,3.281892754800774,19.90454206872889,14.873426039033196,THND_TONNE,South Asia,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,IND,Asia,Northern Hemisphere,Medium,SA,132.0,11.94699955
2015,Mexico,15.232238301221308,0.21633947606113293,37.50750542280233,1.1211237061897676,THND_TONNE,Latin America and Caribbean,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,MEX,America,Northern Hemisphere,High,LAC,86.0,14.19680977
2015,Norway,13.9999166247211,20.5910756063007,15.8097155142641,4.600362011368,KG_CAP,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,NOR,Europe,Northern Hemisphere,Very High,,2.0,17.78388977
2015,Switzerland,13.7984608707285,23.3723818945168,13.922538579735,1.30413838627714,KG_CAP,Western Europe,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,CHE,Europe,Northern Hemisphere,Very High,,1.0,16.19400978
2015,United Kingdom,16.005159427456473,20.23869923920995,29.005643189465985,4.879692983174835,THND_TONNE,Western Europe,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,GBR,Europe,Northern Hemisphere,Very High,,18.0,17.32865906
2015,United Kingdom,11.7094960938111,16.4989900549077,26.6775126131014,4.48802566646707,KG_CAP,Western Europe,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,GBR,Europe,Northern Hemisphere,Very High,,18.0,17.32865906
2016,Australia,19.4555358931342,21.488653016466,44.7812173897473,8.55472675043961,KG_CAP,North America and ANZ,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,AUS,Oceania,Southern Hemisphere,Very High,,5.0,22.74729919
2016,Canada,18.0531748257128,16.2477304142939,33.2734139245195,0.930445125908857,KG_CAP,North America and ANZ,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,CAN,America,Northern Hemisphere,Very High,,15.0,16.00966072
2016,Japan,6.4079913791247,15.378770392643,16.2486751450485,0.138095139931755,KG_CAP,East Asia,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985,JPN,Asia,Northern Hemisphere,Very High,,19.0,15.22962
2016,Mexico,8.83538822963006,12.4159882395242,27.7914294328536,0.508493390797392,KG_CAP,Latin America and Caribbean,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,MEX,America,Northern Hemisphere,High,LAC,86.0,14.6375103
2016,New Zealand,12.5258861039458,17.4450671106832,37.2217474617778,5.51599036781563,KG_CAP,North America and ANZ,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,NZL,Oceania,Southern Hemisphere,Very High,,13.0,18.12450027
2016,United States,25.3735756177622,22.9426107461548,48.5466934001827,0.452833778469076,KG_CAP,North America and ANZ,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,USA,America,Northern Hemisphere,Very High,,21.0,16.27448082
2016,Argentina,38.9692182643316,9.59901541823546,38.6239304789357,1.00411838023468,KG_CAP,Latin America and Caribbean,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,ARG,America,Southern Hemisphere,Very High,LAC,47.0,17.66885948
2016,Brazil,25.2085049719877,11.6177563683506,40.0265544190782,0.546665083853536,KG_CAP,Latin America and Caribbean,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,BRA,America,Southern Hemisphere,High,LAC,87.0,15.45316982
2016,Chile,18.8788452365996,18.2624025140041,35.8905933498615,0.419325044243088,KG_CAP,Latin America and Caribbean,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,CHL,America,Southern Hemisphere,Very High,LAC,42.0,16.41803932
2016,China,3.41957418272996,31.2022143382846,11.5955909933202,3.01772352197607,KG_CAP,East Asia,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,CHN,Asia,Northern Hemisphere,High,EAP,79.0,13.68710003
2016,Colombia,11.3511467115339,6.65973962080323,28.2997362585733,0.140882353519643,KG_CAP,Latin America and Caribbean,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,COL,America,Northern Hemisphere,High,LAC,88.0,14.41985989
2016,Ethiopia,2.65753198848089,0.0156002756652196,0.112884834137656,0.389998841031,KG_CAP,Sub-Saharan Africa,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717,ETH,Africa,Northern Hemisphere,Low,SSA,175.0,9.096271752
2016,India,0.468497427674935,0.186444830611079,2.27816339850648,0.480063041246502,KG_CAP,South Asia,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722,IND,Asia,Northern Hemisphere,Medium,SA,132.0,12.34372044
2016,Indonesia,1.90128978218836,1.03392754615954,7.90702485185403,0.390436382326597,KG_CAP,Southeast Asia,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322,IDN,Asia,Southern Hemisphere,High,EAP,114.0,13.35651016
2016,Israel,19.9779415858053,1.53271503059213,68.102069625408,1.54047266403602,KG_CAP,Middle East and North Africa,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,ISR,Asia,Northern Hemisphere,Very High,,22.0,16.08654022
2016,Kazakhstan,19.4001883203085,5.24908041273725,14.6914455992749,8.26991448014549,KG_CAP,Commonwealth of Independent States,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132,KAZ,Asia,Northern Hemisphere,Very High,ECA,56.0,15.14945984
2016,Malaysia,5.41121417824407,5.49306902151382,50.1817248160682,1.0632342118052,KG_CAP,Southeast Asia,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,MYS,Asia,Northern Hemisphere,Very High,EAP,62.0,13.8724699
2016,Nigeria,1.40005205213147,1.15650298707728,0.989620344288748,1.83236193090223,KG_CAP,Sub-Saharan Africa,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305,NGA,Africa,Northern Hemisphere,Low,SSA,163.0,9.579133632
2016,Pakistan,6.3564116039381,7.670669787e-07,5.46911188326233,2.09040025672821,KG_CAP,South Asia,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388,PAK,Asia,Northern Hemisphere,Low,SA,161.0,7.989449978
2016,Paraguay,11.6917129197874,21.9002487284396,5.53688984422255,0.513857207147588,KG_CAP,Latin America and Caribbean,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396,PRY,America,Southern Hemisphere,High,LAC,105.0,12.76987498
2016,Peru,4.37461669267651,3.91411295587849,40.2963338462765,1.10190545286616,KG_CAP,Latin America and Caribbean,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292,PER,America,Southern Hemisphere,High,LAC,84.0,14.86186981
2016,Philippines,3.07916093246172,14.855306838199,12.5381012643641,0.500650957462117,KG_CAP,Southeast Asia,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757,PHL,Asia,Northern Hemisphere,Medium,EAP,116.0,12.84617043
