year,country,beef,pig,poultry,sheep,measures,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2015,Australia,20.6335798087031,22.0227668810292,42.2694495127556,9.39797310500404,KG_CAP,North America and ANZ,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637
2015,Canada,17.6707152205321,18.0324897205705,32.6267255181398,0.915993172573386,KG_CAP,North America and ANZ,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957
2015,Japan,6.48735333048517,14.9610537599976,15.8016358794195,0.127247451501212,KG_CAP,East Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806
2015,Mexico,8.62766060091595,12.1231855196893,27.1224961813577,0.536240490445425,KG_CAP,Latin America and Caribbean,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312
2015,New Zealand,13.8713569494456,17.7865258358977,33.5926507488083,5.8673122411972,KG_CAP,North America and ANZ,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922
2015,United States,24.6724113258516,22.7733360847122,47.9249891723618,0.454957040561563,KG_CAP,North America and ANZ,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589
2015,Argentina,40.6550137323902,8.56280079697252,38.9433239596741,1.13777844305511,KG_CAP,Latin America and Caribbean,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484
2015,Brazil,24.787159594424,12.0988670845222,40.6733690226165,0.55175516542406,KG_CAP,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521
2015,Chile,17.4455794185008,17.6216554483576,33.9237371512629,0.460349850563412,KG_CAP,Latin America and Caribbean,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869
2015,China,3.36126460849498,32.1031751512805,10.872839800804,2.91634916695221,KG_CAP,East Asia,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781
2015,Colombia,12.2947465515862,5.98303742949648,27.0721291224283,0.153235076005771,KG_CAP,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512
2015,Ethiopia,2.73750155695732,0.0158627199086861,0.108352052642591,0.339698603424051,KG_CAP,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048
2015,India,0.448828626338598,0.205069025492956,2.20742902809013,0.476586154450562,KG_CAP,South Asia,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492
2015,Indonesia,1.67120135074407,1.0144089709674,7.05211557854122,0.382474755301524,KG_CAP,Southeast Asia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0
